date,total_sessions
20160801,1711
20160802,2140
20160803,2890
20160804,3161
20160805,2702
20160806,1663
20160807,1622
20160808,2815
20160809,2851
20160810,2757
20160811,2667
20160812,2619
20160813,1596
20160814,1801
20160815,3043
20160816,2873
20160817,2799
20160818,2725
20160819,2379
20160820,1664
20160821,1730
20160822,2584
20160823,2754
20160824,2627
20160825,2539
20160826,2359
20160827,1654
20160828,1682
20160829,2454
20160830,2675
20160831,3223
20160901,2687
20160902,2613
20160903,1741
20160904,1692
20160905,2125
20160906,2508
20160907,2562
20160908,2628
20160909,2549
20160910,1671
20160911,1725
20160912,2465
20160913,2396
20160914,2652
20160915,2949
20160916,2603
20160917,1853
20160918,1822
20160919,2689
20160920,2760
20160921,2720
20160922,2581
20160923,2381
20160924,1845
20160925,1877
20160926,2776
20160927,2727
20160928,2535
20160929,2597
20160930,2303
20161001,1589
20161002,1724
20161003,2514
20161004,4322
20161005,3770
20161006,3016
20161007,2892
20161008,2114
20161009,2134
20161010,2911
20161011,2850
20161012,2871
20161013,2964
20161014,2838
20161015,2495
20161016,2649
20161017,3397
20161018,3628
20161019,3544
20161020,3755
20161021,3419
20161022,3029
20161023,2971
20161024,4063
20161025,3842
20161026,4375
20161027,4162
20161028,3791
20161029,2964
20161030,3086
20161031,3827
20161101,3728
20161102,3960
20161103,4014
20161104,3596
20161105,3042
20161106,3232
20161107,3832
20161108,3899
20161109,3752
20161110,4055
20161111,3588
20161112,3119
20161113,3144
20161114,4466
20161115,4685
20161116,4334
20161117,4074
20161118,3654
20161119,2984
20161120,3247
20161121,4143
20161122,3942
20161123,3805
20161124,3770
20161125,3759
20161126,3213
20161127,3356
20161128,4807
20161129,4337
20161130,4435
20161201,4200
20161202,3751
20161203,3044
20161204,3220
20161205,4265
20161206,3021
20161207,2840
20161208,3013
20161209,2830
20161210,2207
20161211,2208
20161212,3433
20161213,3166
20161214,3040
20161215,2937
20161216,2956
20161217,2324
20161218,2128
20161219,3222
20161220,3110
20161221,2594
20161222,2100
20161223,1604
20161224,1231
20161225,1386
20161226,1586
20161227,1855
20161228,1763
20161229,1647
20161230,1232
20161231,1211
20170101,1364
20170102,1620
20170103,2403
20170104,2390
20170105,2193
20170106,2210
20170107,1615
20170108,1637
20170109,2308
20170110,2268
20170111,2185
20170112,2203
20170113,1967
20170114,1526
20170115,1576
20170116,1906
20170117,2443
20170118,2245
20170119,2083
20170120,2074
20170121,1685
20170122,1700
20170123,2262
20170124,3618
20170125,2986
20170126,2209
20170127,1969
20170128,1614
20170129,1814
20170130,2392
20170131,2229
20170201,2445
20170202,2372
20170203,2182
20170204,1549
20170205,1522
20170206,2238
20170207,2476
20170208,2570
20170209,2678
20170210,2199
20170211,1761
20170212,1790
20170213,2266
20170214,2379
20170215,2629
20170216,2539
20170217,2785
20170218,1755
20170219,2187
20170220,2374
20170221,2582
20170222,2477
20170223,2364
20170224,2093
20170225,1638
20170226,1643
20170227,2352
20170228,2347
20170301,2390
20170302,2267
20170303,2162
20170304,1753
20170305,1827
20170306,2396
20170307,2586
20170308,2449
20170309,2231
20170310,2194
20170311,1707
20170312,1781
20170313,2537
20170314,2338
20170315,2486
20170316,2409
20170317,2129
20170318,1610
20170319,1776
20170320,2383
20170321,2611
20170322,2582
20170323,2847
20170324,2374
20170325,1712
20170326,1768
20170327,2525
20170328,2577
20170329,2525
20170330,2731
20170331,2268
20170401,2170
20170402,1861
20170403,2383
20170404,2978
20170405,2619
20170406,2647
20170407,2297
20170408,1829
20170409,1766
20170410,2563
20170411,2464
20170412,2341
20170413,2300
20170414,1834
20170415,1506
20170416,1507
20170417,2279
20170418,2391
20170419,2397
20170420,2374
20170421,2210
20170422,1612
20170423,1548
20170424,2263
20170425,2354
20170426,4224
20170427,2838
20170428,2411
20170429,1566
20170430,1594
20170501,2588
20170502,2564
20170503,2588
20170504,2806
20170505,1960
20170506,1383
20170507,1400
20170508,2025
20170509,2108
20170510,2024
20170511,2218
20170512,1932
20170513,1251
20170514,1290
20170515,2360
20170516,3098
20170517,3117
20170518,2715
20170519,2223
20170520,1855
20170521,1645
20170522,2248
20170523,2129
20170524,2406
20170525,2228
20170526,2009
20170527,1502
20170528,1463
20170529,1745
20170530,2199
20170531,2292
20170601,2826
20170602,2190
20170603,1399
20170604,1534
20170605,2493
20170606,2391
20170607,2279
20170608,2280
20170609,1927
20170610,1545
20170611,1555
20170612,2361
20170613,2181
20170614,2517
20170615,2237
20170616,2028
20170617,1391
20170618,1432
20170619,2142
20170620,2143
20170621,2357
20170622,2258
20170623,2095
20170624,1510
20170625,1597
20170626,2226
20170627,2789
20170628,2687
20170629,2709
20170630,2499
20170701,2048
20170702,1895
20170703,2046
20170704,1938
20170705,2885
20170706,2658
20170707,2450
20170708,1859
20170709,1921
20170710,2769
20170711,2635
20170712,2554
20170713,2741
20170714,2382
20170715,1721
20170716,1766
20170717,2671
20170718,2804
20170719,2514
20170720,2668
20170721,2427
20170722,1724
20170723,1966
20170724,2436
20170725,2631
20170726,2725
20170727,2529
20170728,2433
20170729,1597
20170730,1799
20170731,2620
20170801,2556