order_date,orders,revenue
2016-09-04,1,136.23
2016-09-15,1,0.0
2016-10-03,7,559.53
2016-10-04,58,10900.95
2016-10-05,45,9849.39
2016-10-06,48,7665.11
2016-10-07,44,7880.34
2016-10-08,39,9272.15
2016-10-09,22,3294.64
2016-10-10,37,4493.39
2016-12-23,1,19.62
2017-01-05,32,707.27
2017-01-06,4,988.28
2017-01-07,4,1447.99
2017-01-08,6,809.63
2017-01-09,5,774.51
2017-01-10,6,1571.17
2017-01-11,11,2881.52
2017-01-12,13,2502.69
2017-01-13,11,2780.7200000000003
2017-01-14,18,1507.36
2017-01-15,14,2551.34
2017-01-16,19,3712.2400000000002
2017-01-17,32,3893.61
2017-01-18,33,4683.38
2017-01-19,29,4140.16
2017-01-20,29,4698.07
2017-01-21,24,3094.76
2017-01-22,31,4280.22
2017-01-23,39,7553.889999999999
2017-01-24,40,6794.5
2017-01-25,63,10434.31
2017-01-26,85,15127.74
2017-01-27,62,12904.13
2017-01-28,29,5909.98
2017-01-29,35,7160.66
2017-01-30,53,12187.9
2017-01-31,70,13021.73
2017-02-01,72,10173.16
2017-02-02,69,10676.54
2017-02-03,57,11505.0
2017-02-04,67,15747.17
2017-02-05,75,10153.24
2017-02-06,85,11626.0
2017-02-07,111,16541.61
2017-02-08,94,14232.289999999999
2017-02-09,77,10844.17
2017-02-10,65,15052.88
2017-02-11,49,5648.37
2017-02-12,63,16639.87
2017-02-13,77,12667.02
2017-02-14,76,15309.08
2017-02-15,62,8326.4
2017-02-16,53,7486.849999999999
2017-02-17,46,8093.57
2017-02-18,54,9308.3
2017-02-19,40,4477.65
2017-02-20,62,9122.62
2017-02-21,41,9333.46
2017-02-22,60,8637.2
2017-02-23,59,8571.86
2017-02-24,64,7983.01
2017-02-25,43,5126.18
2017-02-26,46,6583.5
2017-02-27,42,6790.76
2017-02-28,54,12423.25
2017-03-01,98,18819.24
2017-03-02,72,13146.36
2017-03-03,74,14154.71
2017-03-04,78,13575.5
2017-03-05,72,8546.74
2017-03-06,104,12076.89
2017-03-07,81,13608.11
2017-03-08,78,16720.32
2017-03-09,93,13828.33
2017-03-10,86,14107.78
2017-03-11,70,12473.31
2017-03-12,63,7711.89
2017-03-13,108,18983.78
2017-03-14,98,16416.29
2017-03-15,108,17364.91
2017-03-16,102,16569.07
2017-03-17,65,13611.279999999999
2017-03-18,73,17943.07
2017-03-19,56,7728.08
2017-03-20,115,19583.18
2017-03-21,93,14687.41
2017-03-22,105,16390.14
2017-03-23,113,22825.28
2017-03-24,78,13336.7
2017-03-25,75,11169.26
2017-03-26,64,7642.02
2017-03-27,110,20364.53
2017-03-28,100,14028.49
2017-03-29,73,9805.42
2017-03-30,74,11435.0
2017-03-31,70,13753.28
2017-04-01,68,20574.68
2017-04-02,65,10608.62
2017-04-03,72,10776.9
2017-04-04,96,14152.99
2017-04-05,96,20774.55
2017-04-06,96,26863.58
2017-04-07,84,14962.24
2017-04-08,68,10290.74
2017-04-09,71,9341.0
2017-04-10,86,13321.95
2017-04-11,78,9878.09
2017-04-12,62,9220.27
2017-04-13,60,11216.11
2017-04-14,51,8326.42
2017-04-15,52,9391.56
2017-04-16,49,6532.21
2017-04-17,64,9277.43
2017-04-18,71,23433.86
2017-04-19,97,13941.25
2017-04-20,97,15865.09
2017-04-21,67,10141.81
2017-04-22,84,15005.06
2017-04-23,86,11685.76
2017-04-24,114,15762.05
2017-04-25,111,17176.35
2017-04-26,123,18118.2
2017-04-27,78,11871.67
2017-04-28,98,18063.29
2017-04-29,74,13835.28
2017-04-30,68,9437.0
2017-05-01,116,14796.77
2017-05-02,126,20512.14
2017-05-03,102,12155.48
2017-05-04,109,15901.72
2017-05-05,111,16584.58
2017-05-06,109,19227.55
2017-05-07,111,20467.98
2017-05-08,124,19194.68
2017-05-09,127,24179.94
2017-05-10,115,23258.64
2017-05-11,126,21204.04
2017-05-12,112,14758.78
2017-05-13,72,10601.95
2017-05-14,110,17327.24
2017-05-15,156,21723.62
2017-05-16,152,24456.93
2017-05-17,140,21217.81
2017-05-18,125,20861.79
2017-05-19,144,21525.09
2017-05-20,72,12364.17
2017-05-21,148,20368.53
2017-05-22,148,28906.6
2017-05-23,124,20411.07
2017-05-24,142,26991.95
2017-05-25,106,17780.45
2017-05-26,79,12634.24
2017-05-27,80,16025.22
2017-05-28,98,11120.71
2017-05-29,158,21922.39
2017-05-30,103,16642.1
2017-05-31,126,23405.8
2017-06-01,124,21781.38
2017-06-02,127,21769.38
2017-06-03,89,12265.44
2017-06-04,102,16029.49
2017-06-05,146,27124.98
2017-06-06,133,17309.54
2017-06-07,128,15989.12
2017-06-08,137,22106.28
2017-06-09,107,18685.52
2017-06-10,77,9892.1
2017-06-11,115,19348.54
2017-06-12,126,17389.2
2017-06-13,125,16783.87
2017-06-14,131,23559.52
2017-06-15,106,15008.92
2017-06-16,95,14673.210000000001
2017-06-17,75,13070.16
2017-06-18,88,17584.14
2017-06-19,155,25849.71
2017-06-20,93,14348.92
2017-06-21,35,7275.1
2017-06-22,86,10394.48
2017-06-23,106,15422.94
2017-06-24,76,10013.7
2017-06-25,105,20734.34
2017-06-26,72,15200.32
2017-06-27,141,19680.13
2017-06-28,120,17080.88
2017-06-29,114,14694.57
2017-06-30,95,16236.74
2017-07-01,80,14139.0
2017-07-02,106,13807.47
2017-07-03,117,19262.68
2017-07-04,125,18107.6
2017-07-05,143,24472.12
2017-07-06,154,26556.07
2017-07-07,120,16234.03
2017-07-08,84,12001.35
2017-07-09,91,10076.6
2017-07-10,143,20661.8
2017-07-11,164,24685.11
2017-07-12,151,22567.34
2017-07-13,136,17902.73
2017-07-14,149,21833.26
2017-07-15,98,13128.05
2017-07-16,112,15588.11
2017-07-17,168,25799.54
2017-07-18,192,32450.89
2017-07-19,153,20411.75
2017-07-20,141,21294.78
2017-07-21,114,15209.99
2017-07-22,88,13318.54
2017-07-23,105,14066.83
2017-07-24,159,21434.6
2017-07-25,150,20361.16
2017-07-26,122,13864.08
2017-07-27,124,18945.82
2017-07-28,132,23276.3
2017-07-29,114,18205.239999999998
2017-07-30,117,15341.69
2017-07-31,146,20326.829999999998
2017-08-01,165,25417.36
2017-08-02,154,21501.39
2017-08-03,146,22136.84
2017-08-04,142,21712.53
2017-08-05,114,14407.83
2017-08-06,109,17023.39
2017-08-07,157,26629.34
2017-08-08,146,21541.13
2017-08-09,143,23948.64
2017-08-10,156,23466.9
2017-08-11,140,22646.78
2017-08-12,96,15538.91
2017-08-13,95,15842.56
2017-08-14,157,21919.18
2017-08-15,194,27992.04
2017-08-16,171,25457.06
2017-08-17,157,21853.32
2017-08-18,146,20025.87
2017-08-19,107,15086.02
2017-08-20,104,15073.71
2017-08-21,177,26019.72
2017-08-22,137,19869.85
2017-08-23,112,18789.7
2017-08-24,128,16398.73
2017-08-25,121,17277.28
2017-08-26,93,12054.65
2017-08-27,119,16327.14
2017-08-28,154,25497.07
2017-08-29,137,37025.7
2017-08-30,179,35048.85
2017-08-31,148,23694.98
2017-09-01,157,32421.94
2017-09-02,104,20479.18
2017-09-03,124,30887.45
2017-09-04,150,28719.24
2017-09-05,157,24954.68
2017-09-06,139,28304.19
2017-09-07,99,21328.86
2017-09-08,115,14444.76
2017-09-09,106,17681.22
2017-09-10,135,20860.36
2017-09-11,179,27034.69
2017-09-12,204,32499.29
2017-09-13,206,31777.89
2017-09-14,166,26502.51
2017-09-15,148,21359.52
2017-09-16,127,23548.28
2017-09-17,126,22848.42
2017-09-18,183,32535.23
2017-09-19,154,23478.66
2017-09-20,163,26170.08
2017-09-21,150,22458.19
2017-09-22,137,18679.5
2017-09-23,87,12332.16
2017-09-24,116,15573.22
2017-09-25,135,21073.05
2017-09-26,180,25296.36
2017-09-27,146,24806.6
2017-09-28,142,26349.1
2017-09-29,121,34497.47
2017-09-30,109,14879.17
2017-10-01,126,21471.55
2017-10-02,143,25565.11
2017-10-03,198,30389.12
2017-10-04,157,24787.579999999998
2017-10-05,139,28815.44
2017-10-06,129,21816.53
2017-10-07,104,17649.55
2017-10-08,126,19756.3
2017-10-09,191,34027.04
2017-10-10,183,32347.07
2017-10-11,158,26214.78
2017-10-12,141,22430.94
2017-10-13,154,26589.920000000002
2017-10-14,115,16131.48
2017-10-15,121,21353.84
2017-10-16,194,35110.66
2017-10-17,202,35288.18
2017-10-18,179,31793.670000000002
2017-10-19,176,26988.8
2017-10-20,121,21508.14
2017-10-21,111,17566.09
2017-10-22,157,23210.17
2017-10-23,160,25836.99
2017-10-24,163,25711.59
2017-10-25,156,21470.53
2017-10-26,143,25676.13
2017-10-27,133,23488.17
2017-10-28,87,19176.88
2017-10-29,130,20172.11
2017-10-30,148,23701.77
2017-10-31,160,27058.22
2017-11-01,111,22702.16
2017-11-02,122,24875.33
2017-11-03,143,27058.52
2017-11-04,111,22294.81
2017-11-05,142,20817.38
2017-11-06,189,33155.88
2017-11-07,160,24945.21
2017-11-08,173,23241.95
2017-11-09,188,28653.0
2017-11-10,163,22628.52
2017-11-11,158,27481.75
2017-11-12,174,26725.08
2017-11-13,203,29382.72
2017-11-14,188,31577.9
2017-11-15,183,26864.06
2017-11-16,226,33063.27
2017-11-17,197,35386.84
2017-11-18,148,27948.34
2017-11-19,158,23312.6
2017-11-20,228,50401.58
2017-11-21,226,39707.85
2017-11-22,200,30418.28
2017-11-23,281,51407.27
2017-11-24,1176,179200.03
2017-11-25,499,71897.01
2017-11-26,389,53482.43
2017-11-27,403,56966.28
2017-11-28,379,56618.23
2017-11-29,322,47983.35
2017-11-30,267,37026.73
2017-12-01,274,45973.82
2017-12-02,216,35908.51
2017-12-03,233,34383.02
2017-12-04,336,55410.81
2017-12-05,282,40707.77
2017-12-06,279,46039.39
2017-12-07,229,33664.2
2017-12-08,219,35160.82
2017-12-09,155,23639.52
2017-12-10,189,29144.28
2017-12-11,266,39071.53
2017-12-12,260,40370.39
2017-12-13,217,34127.22
2017-12-14,200,30754.31
2017-12-15,192,31451.63
2017-12-16,131,22907.05
2017-12-17,133,22106.0
2017-12-18,209,33898.13
2017-12-19,176,24494.28
2017-12-20,171,32004.68
2017-12-21,142,21247.44
2017-12-22,111,18073.47
2017-12-23,108,16291.15
2017-12-24,58,6708.53
2017-12-25,90,12662.23
2017-12-26,168,23797.46
2017-12-27,167,21074.29
2017-12-28,146,17793.85
2017-12-29,135,20552.64
2017-12-30,97,15412.61
2017-12-31,73,10131.2
2018-01-01,74,8486.29
2018-01-02,204,29494.74
2018-01-03,224,36535.67
2018-01-04,258,40998.15
2018-01-05,210,32341.95
2018-01-06,216,32711.84
2018-01-07,196,33993.48
2018-01-08,293,45310.6
2018-01-09,252,35440.0
2018-01-10,277,44824.93
2018-01-11,266,46746.38
2018-01-12,243,37270.23
2018-01-13,219,33222.38
2018-01-14,235,35993.46
2018-01-15,307,45208.29
2018-01-16,302,51339.38
2018-01-17,282,42151.92
2018-01-18,241,33038.69
2018-01-19,235,35649.63
2018-01-20,183,26770.63
2018-01-21,197,28151.61
2018-01-22,313,43752.24
2018-01-23,260,39832.9
2018-01-24,241,36666.66
2018-01-25,231,35198.15
2018-01-26,226,39025.36
2018-01-27,150,24568.62
2018-01-28,153,27291.93
2018-01-29,242,35457.08
2018-01-30,252,34598.07
2018-01-31,253,37392.74
2018-02-01,228,35335.42
2018-02-02,208,32357.3
2018-02-03,190,27168.39
2018-02-04,200,28072.84
2018-02-05,266,42606.83
2018-02-06,267,39815.85
2018-02-07,245,36299.92
2018-02-08,226,31625.52
2018-02-09,213,35092.56
2018-02-10,177,25052.55
2018-02-11,171,26041.82
2018-02-12,217,27917.88
2018-02-13,221,28812.82
2018-02-14,291,43320.51
2018-02-15,278,38818.94
2018-02-16,214,31867.47
2018-02-17,200,29358.38
2018-02-18,200,28947.04
2018-02-19,255,33350.49
2018-02-20,286,42506.92
2018-02-21,262,37678.67
2018-02-22,275,37123.32
2018-02-23,235,33072.96
2018-02-24,190,28271.9
2018-02-25,236,34765.18
2018-02-26,296,50283.55
2018-02-27,296,46941.19
2018-02-28,312,52283.97
2018-03-01,273,46118.57
2018-03-02,266,37550.31
2018-03-03,211,31443.36
2018-03-04,236,37479.8
2018-03-05,260,45316.05
2018-03-06,271,45971.24
2018-03-07,259,42513.19
2018-03-08,233,33659.86
2018-03-09,204,33823.07
2018-03-10,192,30851.65
2018-03-11,218,36618.35
2018-03-12,232,35930.89
2018-03-13,226,41858.24
2018-03-14,199,28417.25
2018-03-15,287,51539.49
2018-03-16,252,38760.36
2018-03-17,180,24000.21
2018-03-18,215,36076.38
2018-03-19,302,52629.42
2018-03-20,295,42536.71
2018-03-21,285,46342.13
2018-03-22,254,36989.79
2018-03-23,220,34672.03
2018-03-24,165,27711.42
2018-03-25,190,30192.8
2018-03-26,271,42683.94
2018-03-27,244,40618.659999999996
2018-03-28,219,35082.68
2018-03-29,193,33454.76
2018-03-30,165,26279.75
2018-03-31,168,29121.4
2018-04-01,207,34189.0
2018-04-02,281,47458.64
2018-04-03,247,42187.32
2018-04-04,257,43567.82
2018-04-05,266,42219.17
2018-04-06,188,31957.97
2018-04-07,164,29014.86
2018-04-08,185,27883.61
2018-04-09,253,55782.82
2018-04-10,201,32535.28
2018-04-11,274,47204.47
2018-04-12,255,39945.38
2018-04-13,199,35097.58
2018-04-14,146,22397.87
2018-04-15,223,36564.19
2018-04-16,279,47294.98
2018-04-17,265,42776.47
2018-04-18,280,46308.65
2018-04-19,291,50091.19
2018-04-20,197,32841.64
2018-04-21,156,22465.89
2018-04-22,200,31991.79
2018-04-23,285,44363.29
2018-04-24,270,49860.64
2018-04-25,283,47291.36
2018-04-26,253,36622.61
2018-04-27,241,46643.99
2018-04-28,168,26801.96
2018-04-29,170,22939.28
2018-04-30,240,41036.61
2018-05-01,255,39054.88
2018-05-02,296,44908.63
2018-05-03,305,50218.85
2018-05-04,265,45494.1
2018-05-05,195,32557.06
2018-05-06,210,32809.02
2018-05-07,370,61526.77
2018-05-08,328,54772.05
2018-05-09,343,51059.66
2018-05-10,278,57719.25
2018-05-11,247,43346.5
2018-05-12,206,34837.43
2018-05-13,207,36320.07
2018-05-14,363,62053.9
2018-05-15,351,49428.11
2018-05-16,356,64688.87
2018-05-17,227,36211.64
2018-05-18,236,36429.77
2018-05-19,138,28191.23
2018-05-20,160,23016.98
2018-05-21,203,30400.68
2018-05-22,197,31761.32
2018-05-23,132,20262.3
2018-05-24,114,22278.7
2018-05-25,104,18286.32
2018-05-26,99,16914.09
2018-05-27,100,14693.68
2018-05-28,142,30114.99
2018-05-29,149,29441.33
2018-05-30,140,22529.07
2018-05-31,133,28156.52
2018-06-01,184,37284.05
2018-06-02,142,28939.99
2018-06-03,192,33024.44
2018-06-04,225,34326.4
2018-06-05,197,36105.95
2018-06-06,227,32176.98
2018-06-07,223,42676.38
2018-06-08,198,31797.2
2018-06-09,172,34033.78
2018-06-10,191,30140.75
2018-06-11,294,57345.56
2018-06-12,246,46762.43
2018-06-13,258,41092.34
2018-06-14,212,32707.21
2018-06-15,185,31285.71
2018-06-16,165,29000.08
2018-06-17,152,20751.52
2018-06-18,245,40737.48
2018-06-19,229,39826.33
2018-06-20,216,34251.5
2018-06-21,234,33301.99
2018-06-22,179,28753.15
2018-06-23,150,21101.59
2018-06-24,198,29291.59
2018-06-25,240,41871.4
2018-06-26,241,37302.01
2018-06-27,215,32920.9
2018-06-28,242,38740.94
2018-06-29,173,25048.66
2018-06-30,124,18621.71
2018-07-01,161,29060.7
2018-07-02,193,29113.41
2018-07-03,215,31361.38
2018-07-04,254,41318.53
2018-07-05,194,33715.63
2018-07-06,121,22108.67
2018-07-07,91,11277.24
2018-07-08,120,17294.26
2018-07-09,148,23122.17
2018-07-10,134,22694.45
2018-07-11,126,22036.66
2018-07-12,121,25609.82
2018-07-13,168,32635.24
2018-07-14,146,26194.27
2018-07-15,151,34432.93
2018-07-16,243,37548.12
2018-07-17,219,35030.38
2018-07-18,306,51218.85
2018-07-19,253,44911.25
2018-07-20,248,37974.78
2018-07-21,185,25194.23
2018-07-22,214,31012.06
2018-07-23,306,48019.53
2018-07-24,271,48154.03
2018-07-25,267,47830.81
2018-07-26,245,41323.11
2018-07-27,189,33331.12
2018-07-28,176,30168.170000000002
2018-07-29,184,34476.09
2018-07-30,284,44934.72
2018-07-31,318,54320.11
2018-08-01,309,48702.04
2018-08-02,300,45733.29
2018-08-03,312,49209.13
2018-08-04,242,41075.44
2018-08-05,274,42079.35
2018-08-06,368,63129.9
2018-08-07,361,57325.15
2018-08-08,314,50832.62
2018-08-09,283,46685.51
2018-08-10,253,39513.51
2018-08-11,188,31277.25
2018-08-12,197,36739.75
2018-08-13,287,45811.26
2018-08-14,312,51280.38
2018-08-15,283,52134.86
2018-08-16,316,41699.15
2018-08-17,254,37584.04
2018-08-18,196,28698.1
2018-08-19,204,29989.35
2018-08-20,252,39830.07
2018-08-21,240,31099.42
2018-08-22,186,24262.62
2018-08-23,142,19522.579999999998
2018-08-24,97,11252.09
2018-08-25,69,11737.76
2018-08-26,73,9304.0
2018-08-27,66,6111.6
2018-08-28,39,4121.23
2018-08-29,11,1762.7
2018-09-03,1,166.46
